발생년,발생년월일시,발생시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도, 어린이사고 여부*
2015,2015010809,9,주,목,1,1,0,0,1,경기,안양시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,949065,1932890,126.9245647,37.39371299,○
2015,2015011919,19,야,월,4,2,1,1,0,강원,인제군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1049711,1994123,128.0657823,37.94567062,○
2015,2015020315,15,주,화,1,1,0,1,0,강원,강릉시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1122594,1973762,128.8916832,37.75529715,○
2015,2015020816,16,주,일,1,0,0,0,0,울산,동구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,1174540,1725441,129.4246216,35.50955289,○
2015,2015021109,9,주,수,1,23,4,19,0,인천,서구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타,승용차,승용차,920028,1950327,126.5946579,37.54881422,○
2015,2015021317,17,주,금,1,0,0,0,0,경기,파주시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승합차,자전거,933858,1969563,126.7494682,37.72327883,○
2015,2015021717,17,주,화,2,11,4,7,0,제주,제주시,차대차,기타,기타,과속,교차로,교차로내,승합차,승용차,902111,1499353,126.4463783,33.48152986,○
2015,2015021911,11,주,목,1,2,2,0,0,경북,경주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1173292,1748364,129.4157879,35.71634186,○
2015,2015021915,15,주,목,1,30,7,21,2,서울,강북구,차대차,추돌,진행중 추돌,신호위반,교차로,교차로내,승용차,승합차,958343,1958135,127.0279481,37.62171859,○
2015,2015030400,0,야,수,1,0,0,0,0,경남,창녕군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1081603,1724232,128.3998774,35.5106516,○
2015,2015031010,10,주,화,1,0,0,0,0,경기,광주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,981885,1935141,127.2952875,37.41522599,○
2015,2015032409,9,주,화,1,1,0,1,0,광주,북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,948706,1686036,126.9367316,35.16828773,○
2015,2015032811,11,주,토,1,0,0,0,0,경기,안성시,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타,승용차,보행자,976390,1887290,127.2347044,36.98377189,○
2015,2015032811,11,주,토,1,5,1,4,0,충북,괴산군,차대차,정면충돌,정면충돌,기타,교차로,교차로내,승용차,승합차,1023564,1870673,127.7642616,36.83397956,○
2015,2015032811,11,주,토,1,0,0,0,0,전북,무주군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1018858,1781736,127.7093219,36.03229775,○
2015,2015033017,17,주,월,1,0,0,0,0,경기,용인시,차대사람,기타,기타,기타,교차로,교차로부근,승합차,보행자,969048,1919865,127.1508603,37.277192,○
2015,2015040312,12,주,금,2,3,3,0,0,부산,해운대구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1148030,1688850,129.1257923,35.18405774,○
2015,2015040523,23,야,일,1,0,0,0,0,전북,익산시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,화물차,948745,1772962,126.9316534,35.95202879,○
2015,2015041212,12,주,일,1,6,3,3,0,전북,익산시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,승용차,화물차,953752,1780808,126.9867139,36.02301525,○
2015,2015041617,17,주,목,1,0,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승합차,보행자,965998,1867693,127.1188154,36.80679855,○
2015,2015041912,12,주,일,3,3,1,2,0,전남,여수시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1019646,1642694,127.7147177,34.77857229,○
2015,2015042314,14,주,목,1,0,0,0,0,경북,경주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,건설기계,보행자,1162935,1754451,129.3025776,35.77296509,○
2015,2015042717,17,주,월,1,0,0,0,0,충남,천안시,차대차,정면충돌,정면충돌,안전운전 의무 불이행,기타/불명,기타,승용차,자전거,967017,1865910,127.1303161,36.79076168,○
2015,2015042812,12,주,화,1,30,8,22,0,서울,양천구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,944829,1950719,126.8753753,37.55416625,○
2015,2015042819,19,야,화,1,0,0,0,0,경기,파주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,930459,1969856,126.7108741,37.72566764,○
2015,2015050115,15,주,금,1,6,4,2,0,강원,횡성군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타,승용차,승용차,1069895.3,1948377.3,128.2910914,37.5320616,○
